complaint_text,category,priority,department,location_type,days_pending,affected_group,welfare_area
People are facing problem due to no tap water available for many days,Water Supply,High,Water Department,Rural,10,Residents,Public Health
pipeline damaged is creating problems in our village,Water Supply,High,Water Department,Rural,10,Families,Public Health
People are facing problem due to pipeline damaged for many days,Water Supply,Medium,Water Department,Rural,1,Families,Public Health
Local residents said that no drinking water in the local area,Water Supply,Medium,Water Department,Urban,6,Residents,Public Health
Urgent attention is needed for no drinking water in this locality,Water Supply,High,Water Department,Urban,9,Residents,Public Health
People reported that water tank not filled in this locality,Water Supply,Medium,Water Department,Urban,7,Residents,Public Health
no drinking water has become a serious concern in the local area,Water Supply,High,Water Department,Rural,8,Residents,Public Health
pipeline damaged has become a serious concern since last week,Water Supply,High,Water Department,Urban,4,Residents,Public Health
Residents are suffering because of no tap water available in our village,Water Supply,Medium,Water Department,Urban,10,Residents,Public Health
pipeline damaged has become a serious concern since last week,Water Supply,High,Water Department,Rural,10,Residents,Public Health
no tap water available is creating problems in the local area,Water Supply,Medium,Water Department,Rural,5,Residents,Public Health
People reported that pipeline damaged in our village,Water Supply,High,Water Department,Rural,3,Residents,Public Health
People are facing problem due to pipeline damaged in the local area,Water Supply,Medium,Water Department,Urban,4,Families,Public Health
Local residents said that pipeline damaged in our village,Water Supply,High,Water Department,Urban,1,Families,Public Health
Residents are suffering because of no drinking water for many days,Water Supply,High,Water Department,Urban,6,Families,Public Health
pipeline damaged has become a serious concern in the local area,Water Supply,Medium,Water Department,Rural,2,Families,Public Health
People reported that pipeline damaged for many days,Water Supply,Medium,Water Department,Rural,6,Families,Public Health
pipeline damaged has become a serious concern since last week,Water Supply,Medium,Water Department,Urban,9,Families,Public Health
People reported that pipeline damaged for many days,Water Supply,Medium,Water Department,Urban,5,Residents,Public Health
There is a serious issue of no tap water available for many days,Water Supply,Medium,Water Department,Rural,2,Residents,Public Health
Local residents said that pipeline damaged since last week,Water Supply,Medium,Water Department,Urban,7,Families,Public Health
no tap water available has become a serious concern in our village,Water Supply,High,Water Department,Urban,2,Families,Public Health
People reported that no drinking water in this locality,Water Supply,Medium,Water Department,Rural,9,Residents,Public Health
no tap water available is creating problems since last week,Water Supply,Medium,Water Department,Urban,4,Families,Public Health
no drinking water is creating problems in our village,Water Supply,Medium,Water Department,Rural,8,Families,Public Health
People reported that transformer damaged in the local area,Electricity,Medium,Electricity Board,Urban,2,Students,Essential Services
People reported that voltage fluctuation for many days,Electricity,High,Electricity Board,Rural,4,Residents,Essential Services
Local residents said that no electricity at night for many days,Electricity,Medium,Electricity Board,Urban,4,Students,Essential Services
People reported that power cut since last week,Electricity,Medium,Electricity Board,Urban,2,Residents,Essential Services
Local residents said that voltage fluctuation in this locality,Electricity,Low,Electricity Board,Rural,6,Students,Essential Services
power cut is creating problems since last week,Electricity,Low,Electricity Board,Urban,3,Residents,Essential Services
power cut has become a serious concern in this locality,Electricity,Low,Electricity Board,Urban,1,Students,Essential Services
Complaint has been reported about transformer damaged for many days,Electricity,High,Electricity Board,Urban,5,Students,Essential Services
People reported that power cut since last week,Electricity,High,Electricity Board,Urban,5,Students,Essential Services
voltage fluctuation is creating problems in this locality,Electricity,Medium,Electricity Board,Rural,9,Students,Essential Services
People reported that transformer damaged for many days,Electricity,High,Electricity Board,Urban,6,Residents,Essential Services
transformer damaged has become a serious concern in our village,Electricity,Medium,Electricity Board,Urban,5,Students,Essential Services
People are facing problem due to power cut in the local area,Electricity,Medium,Electricity Board,Rural,2,Students,Essential Services
People reported that streetlight not working in the local area,Electricity,Medium,Electricity Board,Urban,1,Students,Essential Services
power cut is creating problems in the local area,Electricity,Medium,Electricity Board,Urban,9,Residents,Essential Services
People reported that no electricity at night since last week,Electricity,Medium,Electricity Board,Rural,1,Residents,Essential Services
Residents are suffering because of power cut in the local area,Electricity,High,Electricity Board,Rural,10,Residents,Essential Services
Urgent attention is needed for power cut in the local area,Electricity,High,Electricity Board,Urban,10,Students,Essential Services
People reported that power cut since last week,Electricity,Low,Electricity Board,Rural,5,Residents,Essential Services
no electricity at night has become a serious concern for many days,Electricity,Medium,Electricity Board,Rural,1,Residents,Essential Services
no electricity at night is creating problems in the local area,Electricity,High,Electricity Board,Rural,2,Residents,Essential Services
People reported that no electricity at night in this locality,Electricity,High,Electricity Board,Rural,10,Residents,Essential Services
streetlight not working has become a serious concern in our village,Electricity,Medium,Electricity Board,Rural,3,Students,Essential Services
People reported that transformer damaged for many days,Electricity,Low,Electricity Board,Urban,8,Students,Essential Services
There is a serious issue of power cut in the local area,Electricity,High,Electricity Board,Urban,3,Residents,Essential Services
Complaint has been reported about potholes on road in the local area,Roads,Medium,Public Works Department,Urban,10,Residents,Infrastructure
road not constructed properly has become a serious concern for many days,Roads,Medium,Public Works Department,Urban,10,Students,Infrastructure
road not constructed properly has become a serious concern in the local area,Roads,Medium,Public Works Department,Urban,1,Students,Infrastructure
